discountPrice,bookID,author,bookName,number,press,price
35.20,12026957,周梅森,人民的名义, 01 ,北京十月文艺出版社,46.90
22.80,11757204,沈复,浮生六记（汪涵推荐，全译本）, 02 ,天津人民出版社,32.00
24.10,11479404,东野圭吾,嫌疑人X的献身（2014版）, 03 ,南海出版公司,35.00
27.30,11452840,东野圭吾,解忧杂货店, 04 ,南海出版公司,39.50
27.30,11153952,东野圭吾,白夜行, 05 ,南海出版公司,39.50
33.60,12143428,丁捷,追问, 06 ,中共中央党校出版社,42.00
50.80,11929099,北猫,米小圈漫画成语（套装共4册）, 07 ,四川少年儿童出版社,74.00
51.00,12099462,尤瓦尔·赫拉利,未来简史 赠价值68元伴读有声书（人类简史+未来简史）及 两书思维导图, 08 ,中信出版集团,68.00
29.90,11582083,蔡崇达,皮囊, 09 ,天津人民出版社,39.80
23.40,11687858,克莱儿·麦克福尔,摆渡人　【荐书联盟推荐】, 10 ,百花洲文艺出版社,36.00
27.50,11825528,高铭,天才在左疯子在右完整版　[荐书联盟推荐], 11 ,北京联合出版公司,39.80
23.70,11984135,东野圭吾,恶意（2016版）, 12 ,南海出版公司,39.50
25.90,12092518,余光中,孤独是生命的礼物, 13 ,长江文艺出版社,36.00
26.90,11941728,贾平凹,自在独行：贾平凹的独行世界（陈坤推荐）, 14 ,长江文艺出版社,39.00
24.20,11678007,加·泽文,岛上书店　【荐书联盟推荐】, 15 ,江苏凤凰文艺出版社,35.00
14.50,11096744,杨绛,我们仨/杨绛作品, 16 ,生活·读书·新知三联书店,23.00
17.70,11258976,卡勒德·胡赛尼,追风筝的人, 17 ,上海人民出版社,29.00
102.00,12102866,尤瓦尔·赫拉利,尤瓦尔·赫拉利作品 人类简史+未来简史（套装共2册）, 18 ,中信出版集团,136.00
22.00,11742686,奥里森·马登,怕，就会输一辈子, 19 ,北方妇女儿童出版社,32.00
12.80,11911791,曹文轩,曹文轩纯美小说：草房子（2016版）, 20 ,江苏凤凰少年儿童出版社,22.00
11.00,11090643,余华,余华作品：活着（新版）, 21 ,作家出版社,20.00
20.70,12109182,白落梅,一剪宋朝的时光, 22 ,湖南文艺出版社,35.00
